JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458747.34444,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.77354,4.952,0.037,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.77765,3.725,0.019,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.78096,3.006,0.013,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.78480,2.250,0.009,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458748.33056,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458748.400,3.6,,,Vis.,NJO,,NA,,NA,,,,Z,,,,ZET AUR,BAV,STD,,,,
2458748.5408,3.776,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.19,Z,4.25,3.169,,ZET AUR,AAVSO,STD,,,,
2458748.5408,4.970,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.19,Z,5.42,3.500,,ZET AUR,AAVSO,STD,,,,
2458750.82001,4.964,0.019,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458750.82439,3.717,0.009,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458750.82801,3.001,0.013,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458750.83208,2.236,0.010,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458752.434805,5.111,0.070,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458752.4361049,zet Aur,BAV,STD,1,,,
2458752.434805,3.835,0.066,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458752.4361049,zet Aur,BAV,STD,1,,,
2458752.434805,2.776,0.017,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458752.4361049,zet Aur,BAV,STD,1,,,
2458755.5094,5.010,0.035,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458755.5109775,zet Aur,BAV,STD,1,,,
2458755.5094,3.699,0.001,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458755.5109775,zet Aur,BAV,STD,1,,,
2458755.5094,2.697,0.036,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458755.5109775,zet Aur,BAV,STD,1,,,
2458757.373497,5.077,0.113,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458757.3752410,zet Aur,BAV,STD,1,,,
2458757.373497,3.817,0.040,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458757.3752410,zet Aur,BAV,STD,1,,,
2458757.373497,2.742,0.053,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458757.3752410,zet Aur,BAV,STD,1,,,
2458757.6522,3.710,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.072,,ZET AUR,AAVSO,STD,,,,
2458757.6522,4.912,0.016,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.397,,ZET AUR,AAVSO,STD,,,,
2458758.30799,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458759.38576,3.6,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458760.76934,4.949,0.015,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458760.77695,3.734,0.017,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458760.78076,3.031,0.009,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458760.78391,2.248,0.012,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458761.32674,3.6,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458762.94389,4.902,0.027,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458762.94715,3.735,0.012,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458762.95047,3.021,0.007,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458762.95365,2.254,0.011,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458763.452905,5.023,0.001,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458763.4551794,zet Aur,BAV,STD,1,,,
2458763.452905,3.874,0.060,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458763.4551794,zet Aur,BAV,STD,1,,,
2458763.452905,2.728,0.070,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458763.4551794,zet Aur,BAV,STD,1,,,
2458763.80374,4.957,0.019,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458763.80802,3.740,0.008,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458763.81371,3.026,0.009,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458763.81687,2.247,0.012,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458764.3682,3.808,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.17,Z,4.25,3.215,,ZET AUR,AAVSO,STD,,,,
2458764.78802,4.937,0.013,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458764.79293,3.727,0.010,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458764.79628,3.018,0.010,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458764.79944,2.251,0.013,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458765.82901,4.966,0.016,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458765.83295,3.728,0.008,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458765.83729,2.984,0.004,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458765.84140,2.251,0.015,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458767.3546,3.791,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.26,Z,4.25,3.187,,ZET AUR,AAVSO,STD,,,,
2458767.3546,4.974,0.009,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.26,Z,5.42,3.527,,ZET AUR,AAVSO,STD,,,,
2458767.3579,3.784,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.20,Z,4.25,3.197,,ZET AUR,AAVSO,STD,,,,
2458767.3579,4.928,0.020,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.20,Z,5.42,3.519,,ZET AUR,AAVSO,STD,,,,
2458767.3789,3.808,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.92,Z,4.25,3.188,,ZET AUR,AAVSO,STD,,,,
2458767.3789,4.992,0.016,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.92,Z,5.42,3.527,,ZET AUR,AAVSO,STD,,,,
2458767.3808,3.804,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.89,Z,4.25,3.200,,ZET AUR,AAVSO,STD,,,,
2458767.3808,4.995,0.017,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.89,Z,5.42,3.535,,ZET AUR,AAVSO,STD,,,,
2458767.3895,3.810,0.015,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.80,Z,4.25,3.193,,ZET AUR,AAVSO,STD,,,,
2458767.3895,5.010,0.015,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.80,Z,5.42,3.541,,ZET AUR,AAVSO,STD,,,,
2458771.5757,3.785,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.376,,ZET AUR,AAVSO,STD,,,,
2458771.5757,4.973,0.014,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.590,,ZET AUR,AAVSO,STD,,,,
2458771.5780,3.765,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.166,,ZET AUR,AAVSO,STD,,,,
2458771.5780,4.978,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.479,,ZET AUR,AAVSO,STD,,,,
2458771.5922,3.786,0.012,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.195,,ZET AUR,AAVSO,STD,,,,
2458771.5922,4.989,0.025,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.488,,ZET AUR,AAVSO,STD,,,,
2458771.5942,3.872,0.015,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.267,,ZET AUR,AAVSO,STD,,,,
2458771.5942,5.084,0.026,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.619,,ZET AUR,AAVSO,STD,,,,
2458773.31910,3.8,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458773.6040,3.759,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.120,,ZET AUR,AAVSO,STD,,,,
2458773.6040,4.969,0.015,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.469,,ZET AUR,AAVSO,STD,,,,
2458773.6060,3.784,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.140,,ZET AUR,AAVSO,STD,,,,
2458773.6060,4.992,0.024,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.477,,ZET AUR,AAVSO,STD,,,,
2458773.6164,3.754,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.124,,ZET AUR,AAVSO,STD,,,,
2458773.6164,4.900,0.021,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.431,,ZET AUR,AAVSO,STD,,,,
2458773.6183,3.743,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.107,,ZET AUR,AAVSO,STD,,,,
2458773.6183,4.974,0.011,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.456,,ZET AUR,AAVSO,STD,,,,
2458776.506357,4.972,0.026,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458776.5096770,zet Aur,BAV,STD,1,,,
2458776.506357,3.706,0.018,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458776.5096770,zet Aur,BAV,STD,1,,,
2458776.506357,2.667,0.001,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458776.5096770,zet Aur,BAV,STD,1,,,
2458778.3038,3.772,0.013,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.65,Z,4.25,3.185,,ZET AUR,AAVSO,STD,,,,
2458778.31007,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,zet Aur,AAVSO,STD,,,,
2458778.3165,3.760,0.020,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.40,Z,4.25,3.173,,ZET AUR,AAVSO,STD,,,,
2458778.3165,4.932,0.039,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.40,Z,5.42,3.473,,ZET AUR,AAVSO,STD,,,,
2458778.3186,3.835,0.032,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.36,Z,4.25,3.228,,ZET AUR,AAVSO,STD,,,,
2458778.328399,4.989,0.129,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458778.3318530,zet Aur,BAV,STD,1,,,
2458778.328399,3.749,0.050,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458778.3318530,zet Aur,BAV,STD,1,,,
2458778.328399,2.745,0.059,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458778.3318530,zet Aur,BAV,STD,1,,,
2458778.3555,3.807,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.84,Z,4.25,3.176,,ZET AUR,AAVSO,STD,,,,
2458778.3555,5.028,0.013,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.84,Z,5.42,3.558,,ZET AUR,AAVSO,STD,,,,
2458778.5627,3.810,0.017,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.226,,ZET AUR,AAVSO,STD,,,,
2458778.5627,5.010,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.524,,ZET AUR,AAVSO,STD,,,,
2458778.5658,3.834,0.022,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.201,,ZET AUR,AAVSO,STD,,,,
2458778.5658,5.000,0.018,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.494,,ZET AUR,AAVSO,STD,,,,
2458778.5885,3.747,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.162,,ZET AUR,AAVSO,STD,,,,
2458778.5885,4.958,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.477,,ZET AUR,AAVSO,STD,,,,
2458778.5905,3.750,0.007,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.01,Z,4.25,3.115,,ZET AUR,AAVSO,STD,,,,
2458778.5905,4.959,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.01,Z,5.42,3.455,,ZET AUR,AAVSO,STD,,,,
2458779.437062,5.010,0.086,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458779.4405956,zet Aur,BAV,STD,1,,,
2458779.437062,3.758,0.005,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458779.4405956,zet Aur,BAV,STD,1,,,
2458779.437062,2.734,0.037,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458779.4405956,zet Aur,BAV,STD,1,,,
2458780.400,3.8,,,Vis.,NJO,,NA,,NA,,,,Z,,,,ZET AUR,BAV,STD,,,,
2458780.446003,5.001,0.047,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458780.4496077,zet Aur,BAV,STD,1,,,
2458780.446003,3.774,0.022,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458780.4496077,zet Aur,BAV,STD,1,,,
2458780.446003,2.734,0.051,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458780.4496077,zet Aur,BAV,STD,1,,,
2458780.44977,5.150,0.042,,B,BRIA,,ENSEMBLE,LAM AUR,X24870OD,DSLR 85MM  F/2.8; MEAN VAL=20X8SEC EXP.,1,1.199,Z,,5.357,,ZET AUR,AAVSO,STD,1,,,
2458780.44977,3.737,0.017,,V,BRIA,,ENSEMBLE,LAM AUR,X24870OD,DSLR 85MM  F/2.8; MEAN VAL=20X8SEC EXP.,1,1.199,Z,,4.672,,ZET AUR,AAVSO,STD,1,,,
2458780.44977,3.509,0.058,,TR,BRIA,,ENSEMBLE,LAM AUR,X24870OD,DSLR 85MM  F/2.8; MEAN VAL=20X8SEC EXP.,0,1.199,Z,,4.711,,ZET AUR,AAVSO,STD,1,,,
2458780.6022,3.772,0.007,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.269,,ZET AUR,AAVSO,STD,,,,
2458780.6022,4.947,0.011,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.547,,ZET AUR,AAVSO,STD,,,,
2458780.6063,3.768,0.012,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.144,,ZET AUR,AAVSO,STD,,,,
2458780.6063,4.954,0.011,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.448,,ZET AUR,AAVSO,STD,,,,
2458781.3469,3.789,0.024,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.85,Z,4.25,3.248,,ZET AUR,AAVSO,STD,,,,
2458781.3469,4.979,0.015,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.85,Z,5.42,3.544,,ZET AUR,AAVSO,STD,,,,
2458781.3500,3.795,0.017,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.81,Z,4.25,3.171,,ZET AUR,AAVSO,STD,,,,
2458781.3500,4.963,0.011,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.81,Z,5.42,3.497,,ZET AUR,AAVSO,STD,,,,
2458781.3601,3.791,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.71,Z,4.25,3.175,,ZET AUR,AAVSO,STD,,,,
2458781.3601,4.981,0.011,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.71,Z,5.42,3.500,,ZET AUR,AAVSO,STD,,,,
2458781.3643,3.784,0.004,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.67,Z,4.25,3.161,,ZET AUR,AAVSO,STD,,,,
2458781.3643,4.970,0.009,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.67,Z,5.42,3.478,,ZET AUR,AAVSO,STD,,,,
2458781.487704,5.055,0.026,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458781.4913814,zet Aur,BAV,STD,1,,,
2458781.487704,3.810,0.049,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458781.4913814,zet Aur,BAV,STD,1,,,
2458781.487704,2.741,0.045,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458781.4913814,zet Aur,BAV,STD,1,,,
2458781.6284,3.748,0.005,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.04,Z,4.25,3.112,,ZET AUR,AAVSO,STD,,,,
2458781.6284,4.957,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.04,Z,5.42,3.438,,ZET AUR,AAVSO,STD,,,,
2458781.6321,3.769,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.05,Z,4.25,3.137,,ZET AUR,AAVSO,STD,,,,
2458781.6321,4.964,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.05,Z,5.42,3.458,,ZET AUR,AAVSO,STD,,,,
2458781.6364,3.782,0.005,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.05,Z,4.25,3.155,,ZET AUR,AAVSO,STD,,,,
2458781.6364,4.981,0.006,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.05,Z,5.42,3.478,,ZET AUR,AAVSO,STD,,,,
2458782.3303,3.805,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.01,Z,4.25,3.173,,ZET AUR,AAVSO,STD,,,,
2458782.3303,5.034,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.01,Z,5.42,3.517,,ZET AUR,AAVSO,STD,,,,
2458782.3342,3.816,0.007,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.96,Z,4.25,3.179,,ZET AUR,AAVSO,STD,,,,
2458782.3342,5.046,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.96,Z,5.42,3.503,,ZET AUR,AAVSO,STD,,,,
2458782.3380,3.820,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.91,Z,4.25,3.186,,ZET AUR,AAVSO,STD,,,,
2458782.3380,5.031,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.91,Z,5.42,3.501,,ZET AUR,AAVSO,STD,,,,
2458782.4207,3.830,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.30,Z,4.25,3.179,,ZET AUR,AAVSO,STD,,,,
2458782.4207,5.073,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.30,Z,5.42,3.503,,ZET AUR,AAVSO,STD,,,,
2458782.4245,3.824,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.28,Z,4.25,3.165,,ZET AUR,AAVSO,STD,,,,
2458782.4245,5.081,0.011,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.28,Z,5.42,3.500,,ZET AUR,AAVSO,STD,,,,
2458782.4331,3.827,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.25,Z,4.25,3.171,,ZET AUR,AAVSO,STD,,,,
2458782.4331,5.080,0.007,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.25,Z,5.42,3.498,,ZET AUR,AAVSO,STD,,,,
2458782.5957,3.833,0.005,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.128,,ZET AUR,AAVSO,STD,,,,
2458782.5957,5.125,0.006,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.459,,ZET AUR,AAVSO,STD,,,,
2458782.5999,3.815,0.004,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.119,,ZET AUR,AAVSO,STD,,,,
2458782.5999,5.100,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.451,,ZET AUR,AAVSO,STD,,,,
2458782.6040,3.863,0.004,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.158,,ZET AUR,AAVSO,STD,,,,
2458782.6040,5.151,0.005,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.02,Z,5.42,3.489,,ZET AUR,AAVSO,STD,,,,
2458782.6077,3.805,0.007,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.02,Z,4.25,3.261,,ZET AUR,AAVSO,STD,,,,
2458782.65480,5.176,0.017,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458782.6575,3.833,0.007,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.09,Z,4.25,3.125,,ZET AUR,AAVSO,STD,,,,
2458782.6575,5.125,0.009,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.09,Z,5.42,3.459,,ZET AUR,AAVSO,STD,,,,
2458782.65801,3.793,0.027,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458782.6614,3.837,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.10,Z,4.25,3.142,,ZET AUR,AAVSO,STD,,,,
2458782.6614,5.136,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.10,Z,5.42,3.454,,ZET AUR,AAVSO,STD,,,,
2458782.66162,3.035,0.016,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458782.66481,2.254,0.008,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458782.6650,3.853,0.005,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.11,Z,4.25,3.145,,ZET AUR,AAVSO,STD,,,,
2458782.6650,5.147,0.014,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.11,Z,5.42,3.478,,ZET AUR,AAVSO,STD,,,,
2458782.6687,3.822,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.11,Z,4.25,3.109,,ZET AUR,AAVSO,STD,,,,
2458782.6687,5.110,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.11,Z,5.42,3.435,,ZET AUR,AAVSO,STD,,,,
2458783.3288,3.949,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,2.00,Z,4.25,3.209,,ZET AUR,AAVSO,STD,,,,
2458783.3288,5.283,0.014,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,2.00,Z,5.42,3.540,,ZET AUR,AAVSO,STD,,,,
2458783.3339,3.941,0.012,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.93,Z,4.25,3.194,,ZET AUR,AAVSO,STD,,,,
2458783.3339,5.277,0.014,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.93,Z,5.42,3.529,,ZET AUR,AAVSO,STD,,,,
2458783.3627,3.924,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.64,Z,4.25,3.160,,ZET AUR,AAVSO,STD,,,,
