JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458818.4304,5.332,0.007,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.03,Z,5.42,3.492,,ZET AUR,AAVSO,STD,,,,
2458818.4304,3.968,0.012,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.03,Z,4.25,3.183,,ZET AUR,AAVSO,STD,,,,
2458818.4337,5.324,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.03,Z,5.42,3.644,,ZET AUR,AAVSO,STD,,,,
2458818.4337,3.969,0.016,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.03,Z,4.25,3.369,,ZET AUR,AAVSO,STD,,,,
2458818.6743,5.294,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.58,Z,5.42,3.485,,ZET AUR,AAVSO,STD,,,,
2458818.6743,3.940,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.58,Z,4.25,3.155,,ZET AUR,AAVSO,STD,,,,
2458818.6774,5.306,0.008,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.60,Z,5.42,3.474,,ZET AUR,AAVSO,STD,,,,
2458818.6774,3.932,0.008,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.60,Z,4.25,3.131,,ZET AUR,AAVSO,STD,,,,
2458820.3372,5.331,0.019,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.22,Z,5.42,3.501,,ZET AUR,AAVSO,STD,,,,
2458820.3372,3.966,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.22,Z,4.25,3.174,,ZET AUR,AAVSO,STD,,,,
2458820.3389,5.315,0.018,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.21,Z,5.42,3.506,,ZET AUR,AAVSO,STD,,,,
