teff	logg	MH	alpha	vmic
4100	3	0	0	1.43
4100	3	-0.5	0	1.41
4100	3	-1	0.4	1.39
4100	3	-1.5	0.4	1.38
4100	3	-2	0.4	1.37
4100	3.5	1	0	1.09
4100	3.5	0.5	0	1.06
4100	3.5	0	0	1.03
4100	3.5	-0.5	0	1.01
4100	3.5	-1	0.4	0.99
4100	3.5	-1.5	0.4	0.98
4100	3.5	-2	0.4	0.97
4100	4	1	0	1.02
4100	4	0.5	0	0.99
4100	4	0	0	0.96
4100	4	-0.5	0	0.94
4100	4	-1	0.4	0.92
4100	4	-1.5	0.4	0.91
4100	4	-2	0.4	0.9
4100	4.5	1	0	0.95
4100	4.5	0.5	0	0.92
4100	4.5	0	0	0.89
4100	4.5	-0.5	0	0.87
4100	4.5	-1	0.4	0.85
4100	4.5	-1.5	0.4	0.84
4100	4.5	-2	0.4	0.83
4100	5	1	0	0.88
4100	5	0.5	0	0.84
4100	5	0	0	0.82
4100	5	-0.5	0	0.79
4100	5	-1	0.4	0.78
4100	5	-1.5	0.4	0.76
4100	5	-2	0.4	0.76
4200	1	1	0	1.69
4200	1	0.5	0	1.66
4200	1	0	0	1.63
4200	1	-0.5	0	1.61
4200	1	-1	0.4	1.59
4200	1	-1.5	0.4	1.58
4200	1	-2	0.4	1.57
4200	1.5	1	0	1.63
4200	1.5	0.5	0	1.6
4200	1.5	0	0	1.57
4200	1.5	-0.5	0	1.55
4200	1.5	-1	0.4	1.53
4200	1.5	-1.5	0.4	1.52
4200	1.5	-2	0.4	1.51
4200	2	1	0	1.57
4200	2	0.5	0	1.54
4200	2	0	0	1.51
4200	2	-0.5	0	1.49
4200	2	-1	0.4	1.47
4200	2	-1.5	0.4	1.46
4200	2	-2	0.4	1.45
4200	2.5	1	0	1.51
4200	2.5	0.5	0	1.48
4200	2.5	0	0	1.45
4200	2.5	-0.5	0	1.43
4200	2.5	-1	0.4	1.41
4200	2.5	-1.5	0.4	1.4
4200	2.5	-2	0.4	1.39
4200	3	1	0	1.45
4200	3	0.5	0	1.42
4200	3	0	0	1.39
4200	3	-0.5	0	1.37
4200	3	-1	0.4	1.35
4200	3	-1.5	0.4	1.34
4200	3	-2	0.4	1.33
4200	3.5	1	0	1.09
4200	3.5	0.5	0	1.06
4200	3.5	0	0	1.03
4200	3.5	-0.5	0	1.01
4200	3.5	-1	0.4	0.99
4200	3.5	-1.5	0.4	0.98
4200	3.5	-2	0.4	0.97
4200	4	1	0	1.02
4200	4	0.5	0	0.99
4200	4	0	0	0.96
4200	4	-0.5	0	0.94
4200	4	-1	0.4	0.92
4200	4	-1.5	0.4	0.91
4200	4	-2	0.4	0.9
4200	4.5	1	0	0.95
4200	4.5	0.5	0	0.92
4200	4.5	0	0	0.89
4200	4.5	-0.5	0	0.87
4200	4.5	-1	0.4	0.85
4200	4.5	-1.5	0.4	0.84
4200	4.5	-2	0.4	0.83
4200	5	1	0	0.88
4200	5	0.5	0	0.84
4200	5	0	0	0.82
4200	5	-0.5	0	0.79
4200	5	-1	0.4	0.78
4200	5	-1.5	0.4	0.76
4200	5	-2	0.4	0.76
4300	1	1	0	1.65
4300	1	0.5	0	1.62
4300	1	0	0	1.59
4300	1	-0.5	0	1.57
4300	1	-1	0.4	1.55
4300	1	-1.5	0.4	1.54
4300	1	-2	0.4	1.53
4300	1.5	1	0	1.59
4300	1.5	0.5	0	1.56
4300	1.5	0	0	1.53
4300	1.5	-0.5	0	1.51
4300	1.5	-1	0.4	1.49
4300	1.5	-1.5	0.4	1.48
4300	1.5	-2	0.4	1.47
4300	2	1	0	1.54
4300	2	0.5	0	1.5
4300	2	0	0	1.48
4300	2	-0.5	0	1.45
4300	2	-1	0.4	1.44
4300	2	-1.5	0.4	1.42
4300	2	-2	0.4	1.42
4300	2.5	1	0	1.47
4300	2.5	0.5	0	1.44
4300	2.5	0	0	1.41
4300	2.5	-0.5	0	1.39
4300	2.5	-1	0.4	1.37
4300	2.5	-1.5	0.4	1.36
4300	2.5	-2	0.4	1.35
4300	3	1	0	1.41
4300	3	0.5	0	1.38
4300	3	0	0	1.35
4300	3	-0.5	0	1.33
4300	3	-1	0.4	1.31
4300	3	-1.5	0.4	1.3
4300	3	-2	0.4	1.29
4300	3.5	1	0	1.09
4300	3.5	0.5	0	1.06
4300	3.5	0	0	1.03
4300	3.5	-0.5	0	1.01
4300	3.5	-1	0.4	0.99
4300	3.5	-1.5	0.4	0.98
4300	3.5	-2	0.4	0.97
4300	4	1	0	1.02
4300	4	0.5	0	0.99
4300	4	0	0	0.96
4300	4	-0.5	0	0.94
4300	4	-1	0.4	0.92
4300	4	-1.5	0.4	0.91
4300	4	-2	0.4	0.9
4300	4.5	1	0	0.95
4300	4.5	0.5	0	0.92
4300	4.5	0	0	0.89
4300	4.5	-0.5	0	0.87
4300	4.5	-1	0.4	0.85
4300	4.5	-1.5	0.4	0.84
4300	4.5	-2	0.4	0.83
4300	5	1	0	0.88
4300	5	0.5	0	0.84
4300	5	0	0	0.82
4300	5	-0.5	0	0.79
4300	5	-1	0.4	0.78
4300	5	-1.5	0.4	0.76
4300	5	-2	0.4	0.76
4400	1	1	0	1.62
4400	1	0.5	0	1.59
4400	1	0	0	1.56
4400	1	-0.5	0	1.54
4400	1	-1	0.4	1.52
4400	1	-1.5	0.4	1.51
4400	1	-2	0.4	1.5
4400	1.5	1	0	1.56
4400	1.5	0.5	0	1.53
4400	1.5	0	0	1.5
4400	1.5	-0.5	0	1.48
4400	1.5	-1	0.4	1.46
4400	1.5	-1.5	0.4	1.45
4400	1.5	-2	0.4	1.44
4400	2	1	0	1.5
4400	2	0.5	0	1.47
4400	2	0	0	1.44
4400	2	-0.5	0	1.42
4400	2	-1	0.4	1.4
4400	2	-1.5	0.4	1.39
4400	2	-2	0.4	1.38
4400	2.5	1	0	1.44
4400	2.5	0.5	0	1.41
4400	2.5	0	0	1.38
4400	2.5	-0.5	0	1.36
4400	2.5	-1	0.4	1.34
4400	2.5	-1.5	0.4	1.33
4400	2.5	-2	0.4	1.32
4400	3	1	0	1.38
4400	3	0.5	0	1.35
4400	3	0	0	1.32
4400	3	-0.5	0	1.3
4400	3	-1	0.4	1.28
4400	3	-1.5	0.4	1.27
4400	3	-2	0.4	1.26
4400	3.5	1	0	1.09
4400	3.5	0.5	0	1.06
4400	3.5	0	0	1.03
4400	3.5	-0.5	0	1.01
4400	3.5	-1	0.4	0.99
4400	3.5	-1.5	0.4	0.98
4400	3.5	-2	0.4	0.97
4400	4	1	0	1.02
4400	4	0.5	0	0.99
4400	4	0	0	0.96
4400	4	-0.5	0	0.94
4400	4	-1	0.4	0.92
4400	4	-1.5	0.4	0.91
4400	4	-2	0.4	0.9
4400	4.5	1	0	0.95
4400	4.5	0.5	0	0.92
4400	4.5	0	0	0.89
4400	4.5	-0.5	0	0.87
